BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/17/2017,AP,E0488387,AGUILAR JORGE A.,1/25/2017,1/31/2017,TAXI/PARKING/TOLLS,104.2,2017,AGUILAR JORGE A.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/4/2017,AP,E0494013,CITIBANK GOV CARD SERVICE,1/29/2017,2/7/2017,TAXI/PARKING/TOLLS,135.69,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0496017,LIZARRAGA JAIME E.,2/22/2017,2/24/2017,TAXI/PARKING/TOLLS,136.3,2017,LIZARRAGA JAIME E.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0496019,CITIBANK GOV CARD SERVICE,1/26/2017,2/27/2017,TAXI/PARKING/TOLLS,131.38,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0496020,CITIBANK GOV CARD SERVICE,2/10/2017,2/20/2017,TAXI/PARKING/TOLLS,224.96,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,1/23/2017,AP,900852,SMITH KELSEY L.,11/11/2016,12/14/2016,TAXI/PARKING/TOLLS,179.26,2016,SMITH KELSEY L.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,1/26/2017,AP,E0480465,CITIBANK GOV CARD SERVICE,12/2/2016,12/17/2016,TAXI/PARKING/TOLLS,109.51,2016,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MAJORITY WHIP,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/23/2017,AP,E0489772,HORTON BRETT H.,1/5/2017,1/13/2017,TAXI/PARKING/TOLLS,122,2017,HORTON BRETT H.
,OFFICE OF THE MAJORITY WHIP,2017Q1,GENERAL EXPENDITURES,TRAVEL,2/23/2017,AP,E0489772,HORTON BRETT H.,12/14/2016,12/29/2016,TAXI/PARKING/TOLLS,150,2016,HORTON BRETT H.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,3/9/2017,AP,E0493442,MOXLEY STEVEN,2/25/2017,2/25/2017,TAXI/PARKING/TOLLS,127.85,2017,MOXLEY STEVEN
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,3/13/2017,AP,E0493578,RAMSEY JOHN D.,2/18/2017,2/18/2017,TAXI/PARKING/TOLLS,108.7,2017,RAMSEY JOHN D.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,3/28/2017,AP,E0499446,CITIBANK GOV CARD SERVICE,2/22/2017,2/24/2017,TAXI/PARKING/TOLLS,217.75,2017,CITIBANK GOV CARD SERVICE
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,3/28/2017,AP,E0499625,BETHEA LASHON L,3/6/2017,3/9/2017,TAXI/PARKING/TOLLS,208,2017,BETHEA LASHON L
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,3/22/2017,AP,E0498368,GORE RUSSELL H,3/7/2017,3/8/2017,TAXI/PARKING/TOLLS,111.08,2017,GORE RUSSELL H
,OFFICE OF INSPECTOR GENERAL,2017Q1,TRAINING  PERSONNEL & DEVELOP,TRAVEL,1/11/2017,AP,897089,ROBERTS GREGORY,12/10/2016,12/17/2016,TAXI/PARKING/TOLLS,142.67,2016,ROBERTS GREGORY
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,2/7/2017,AP,901774,FITZPATRICK ROBERT,1/24/2017,1/27/2017,TAXI/PARKING/TOLLS,191.1,2017,FITZPATRICK ROBERT
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/8/2017,AP,E0472797,CHRISTINE BIRON,11/14/2016,11/18/2016,TAXI/PARKING/TOLLS,136.15,2016,CHRISTINE BIRON
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/8/2017,AP,E0472928,ANIERY BATISTA,11/14/2016,11/30/2016,TAXI/PARKING/TOLLS,143.42,2016,ANIERY BATISTA
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/11/2017,AP,E0472793,CHRISTINE BIRON,11/28/2016,12/2/2016,TAXI/PARKING/TOLLS,143.86,2016,CHRISTINE BIRON
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/11/2017,AP,E0474424,DWIGHT EVANS,11/18/2016,12/2/2016,TAXI/PARKING/TOLLS,206.23,2016,DWIGHT EVANS
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/11/2017,AP,E0474612,JAMES VARNI PANETTA,11/13/2016,11/27/2016,TAXI/PARKING/TOLLS,770.12,2016,JAMES VARNI PANETTA
